page,value,geonames_url
5,Florence,https://www.geonames.org/3176959
5,Pistoia,https://www.geonames.org/3170621
14,Viareggio,https://www.geonames.org/3164433
14,Viareggio,https://www.geonames.org/3164433
14,Viareggio,https://www.geonames.org/3164433
14,Viareggio,https://www.geonames.org/3164433
48,Cesena,https://www.geonames.org/3178957
49,Pesaro,https://www.geonames.org/3171173
50,Urbino,https://www.geonames.org/3165035
51,Urbino,https://www.geonames.org/3165035
52,Sant'Angelo,https://www.geonames.org/3167442
52,Cagli,https://www.geonames.org/3181277
53,Gubbio,https://www.geonames.org/3175687
55,Milan,https://www.geonames.org/3173435
57,Milan,https://www.geonames.org/3173435
58,Milan,https://www.geonames.org/3173435
58,Bergamo,https://www.geonames.org/3182164
58,Zogno,https://www.geonames.org/3163854
58,Bergamo,https://www.geonames.org/3182164
60,Bergamo,https://www.geonames.org/3182164
60,Strassburg,https://www.geonames.org/2973783
60,Strassburg,https://www.geonames.org/2973783
61,Strassburg,https://www.geonames.org/2973783
61,Strassburg,https://www.geonames.org/2973783
63,Paris,https://www.geonames.org/2988507
64,London,https://www.geonames.org/2643743
65,Lillie,https://www.geonames.org/2998324
65,Lillie,https://www.geonames.org/2998324
66,Douai,https://www.geonames.org/3021000
67,Beauvais,https://www.geonames.org/3034006
67,Paris,https://www.geonames.org/2988507
68,Paris,https://www.geonames.org/2988507
68,Paris,https://www.geonames.org/2988507
70,Weisser Hirsch bei Dresden,https://www.geonames.org/2811803
71,Dresden,https://www.geonames.org/2935022
71,Spreewald,https://www.geonames.org/2875623
71,Berlin,https://www.geonames.org/2950159
71,Holland,https://www.geonames.org/2750405
71,Paris,https://www.geonames.org/2988507
71,Munich,https://www.geonames.org/2867714
74,Rouen,https://www.geonames.org/2982652
74,Paris,https://www.geonames.org/2988507
74,Paris,https://www.geonames.org/2988507
74,Paris,https://www.geonames.org/2988507
75,Paris,https://www.geonames.org/2988507
75,Paris,https://www.geonames.org/2988507
75,Paris,https://www.geonames.org/2988507
76,Paris,https://www.geonames.org/2988507
76,Paris,https://www.geonames.org/2988507
76,Paris,https://www.geonames.org/2988507
77,Paris,https://www.geonames.org/2988507
78,Paris,https://www.geonames.org/2988507
78,Paris,https://www.geonames.org/2988507
78,Paris,https://www.geonames.org/2988507
78,Paris,https://www.geonames.org/2988507
79,Paris,https://www.geonames.org/2988507
79,Paris,https://www.geonames.org/2988507
79,Paris,https://www.geonames.org/2988507
82,Paris,https://www.geonames.org/2988507
82,Paris,https://www.geonames.org/2988507
83,Paris,https://www.geonames.org/2988507
83,Paris,https://www.geonames.org/2988507
84,London,https://www.geonames.org/2643743
84,Reims,https://www.geonames.org/2984114
85,Reims,https://www.geonames.org/2984114
85,Reims,https://www.geonames.org/2984114
86,Reims,https://www.geonames.org/2984114
86,Bâle,https://www.geonames.org/2661604
86,Bâle,https://www.geonames.org/2661604
89,Bâle,https://www.geonames.org/2661604
89,Milan,https://www.geonames.org/3173435
90,Milan,https://www.geonames.org/3173435
90,Milan,https://www.geonames.org/3173435
122,Paris,https://www.geonames.org/2988507
122,Modena,https://www.geonames.org/3173331
138,Pistoia,https://www.geonames.org/3170621
138,Lucca,https://www.geonames.org/3174530
138,Pisa,https://www.geonames.org/3170647
150,Lago di Garda,https://www.geonames.org/3176317
150,Riva,https://www.geonames.org/3169272
150,Trient,https://www.geonames.org/3165243
151,Trient,https://www.geonames.org/3165243
151,Sterzing,https://www.geonames.org/3164065
152,Munich,https://www.geonames.org/2867714
152,Munich,https://www.geonames.org/2867714
154,Kochelsee,https://www.geonames.org/2886920
154,Kochelsee,https://www.geonames.org/2886920
154,Kochelsee,https://www.geonames.org/2886920
158,Speyer,https://www.geonames.org/6554821
158,Mainz,https://www.geonames.org/2874225
159,Mainz,https://www.geonames.org/2874225
160,Trier,https://www.geonames.org/2821164
161,Trier,https://www.geonames.org/2821164
163,Chartres,https://www.geonames.org/3026467
163,Blois,https://www.geonames.org/3032213
164,Bourges,https://www.geonames.org/3031005
164,Paris,https://www.geonames.org/2988507
165,Paris,https://www.geonames.org/2988507
165,Paris,https://www.geonames.org/2988507
168,Paris,https://www.geonames.org/2988507
168,Paris,https://www.geonames.org/2988507
169,Paris,https://www.geonames.org/2988507
172,Dieppe,https://www.geonames.org/3021411
172,London,https://www.geonames.org/2643743
172,Paris,https://www.geonames.org/2988507
174,Paris,https://www.geonames.org/2988507
174,Paris,https://www.geonames.org/2988507
176,Paris,https://www.geonames.org/2988507
178,Dijon,https://www.geonames.org/3021372
178,Lyon,https://www.geonames.org/2996944
178,Lyon,https://www.geonames.org/2996944
178,Avignon,https://www.geonames.org/3035681
179,Avignon,https://www.geonames.org/3035681
180,Nîmes,https://www.geonames.org/2990363
181,Beziers,https://www.geonames.org/3032833
182,Toulouse,https://www.geonames.org/2972315
182,Albi,https://www.geonames.org/3038261
183,Nîmes,https://www.geonames.org/2990363
183,Arles,https://www.geonames.org/3036938
184,Marseilles,https://www.geonames.org/2995469
184,St. Maximin,https://www.geonames.org/2978103
185,Nice,https://www.geonames.org/2990440
186,Savona,https://www.geonames.org/3167022
186,Pisa,https://www.geonames.org/3167022
